first_name,second_name,team,element_type,total_points
Martin,Dubravka,13,1,53
Alex,McCarthy,14,1,52
Fraser,Forster,14,1,73
Ryan,Bertrand,14,2,103
Maya,Yoshida,14,2,76
Matt,Targett,14,2,2
Cédric,Soares,14,2,85
Jérémy,Pied,14,2,7
Jack,Stephens,14,2,58
Sam,McQueen,14,2,14
Jan,Bednarek,14,2,22
Steven,Davis,14,3,71
James,Ward-Prowse,14,3,84
Dusan,Tadic,14,3,122
Jordy,Clasie,14,3,0
Oriol,Romeu Vidal,14,3,68
Pierre-Emile,Højbjerg,14,3,39
Sofiane,Boufal,14,3,55
Joshua,Sims,14,3,8
Nathan,Redmond,14,3,72
Shane,Long,14,4,53
Charlie,Austin,14,4,72
Manolo,Gabbiadini,14,4,66
Mario,Lemina,14,3,58
Stuart,Taylor,14,1,0
Wesley,Hoedt,14,2,74
Michael,Obafemi,14,4,1
Guido,Carrillo,14,4,15
Kurt,Zouma,15,2,87
Jack,Butland,15,1,125
Lee,Grant,15,1,5
Ryan,Shawcross,15,2,67
Geoff,Cameron,15,2,33
Erik,Pieters,15,2,71
Marc,Muniesa,15,2,0
Glen,Johnson,15,2,5
Josh,Tymon,15,2,0
Joe,Allen,15,3,109
Charlie,Adam,15,3,10
Glenn,Whelan,15,3,0
Ibrahim,Afellay,15,3,6
Xherdan,Shaqiri,15,3,155
Giannelli,Imbula,15,3,0
Bojan,Krkic Perez,15,3,2
Ramadan,Sobhi,15,3,51
Darren,Fletcher,15,3,67
Peter,Crouch,15,4,73
Mame Biram,Diouf,15,4,99
Saido,Berahino,15,4,20
Kevin,Wimmer,15,2,19
Eric Maxim,Choupo-Moting,15,3,107
Jesé,Rodríguez Ruiz,15,3,31
Bruno,Martins Indi,15,2,20
Harry,Souttar,15,2,0
Thomas,Edwards,15,2,6
Julien,Ngoy,15,4,1
Jakob,Haugaard,15,1,0
Stephen,Ireland,15,3,4
Moritz,Bauer,15,2,41
Konstantinos,Stafylidis,15,2,6
Papa Alioune,Ndiaye,15,3,41
Tyrese,Campbell,15,4,4
Lasse,Sorenson,15,3,5
Andy,King,16,3,51
Lukasz,Fabianski,16,1,157
Kristoffer,Nordfeldt,16,1,0
Kyle,Naughton,16,2,101
Angel,Rangel,16,2,4
Federico,Fernández,16,2,85
Stephen,Kingsley,16,2,0
Mike,van der Hoorn,16,2,74
Alfie,Mawson,16,2,112
Martin,Olsson,16,2,89
Wayne,Routledge,16,3,17
Leon,Britton,16,3,10
Jay,Fulton,16,3,1
Sung-yueng,Ki,16,3,73
Jefferson,Montero,16,3,0
Leroy,Fer,16,3,41
Nathan,Dyer,16,3,41
Tom,Carroll,16,3,85
Modou,Barrow,16,3,0
Luciano,Narsingh,16,3,30
Roque,Mesa,16,3,18
Oliver,McBurnie,16,4,16
Jordan,Ayew,16,4,108
Tammy,Abraham,16,4,86
André,Ayew,16,3,77
Kyle,Bartley,16,2,5
Sam,Clucas,16,3,75
Renato,Sanches,16,3,20
Wilfried,Bony,16,4,33
Joe,Rodon,16,2,0
Erwin,Mulder,16,1,0
Connor,Roberts,16,2,7
Fernando,Llorente,17,4,22
Hugo,Lloris,17,1,144
Michel,Vorm,17,1,3
Toby,Alderweireld,17,2,43
Danny,Rose,17,2,24
Jan,Vertonghen,17,2,138
Ben,Davies,17,2,143
Kieran,Trippier,17,2,113
Eric,Dier,17,3,85
Mousa,Dembélé,17,3,52
Erik,Lamela,17,3,55
Christian,Eriksen,17,3,199
Bamidele,Alli,17,3,175
Victor,Wanyama,17,3,32
Heung-Min,Son,17,3,178
Harry,Winks,17,3,31
Moussa,Sissoko,17,3,58
Harry,Kane,17,4,217
Vincent,Janssen,17,4,1
Kyle,Walker-Peters,17,2,13
Cameron,Carter-Vickers,17,2,0
Davinson,Sánchez,17,2,107
Tashan,Oakley-Boothe,17,3,0
Serge,Aurier,17,2,77
Juan,Foyth,17,2,0
Paulo,Gazzaniga,17,1,9
Alfie,Whiteman,17,1,0
Lucas,Rodrigues Moura da Silva,17,3,11
Kazaiah,Sterling,17,4,0
Andre,Gray,18,4,79
Nathaniel,Chalobah,18,3,13
Molla,Wagué,18,2,19
Costel,Pantilimon,18,1,0
Heurelho,Gomes,18,1,64
Younes,Kaboul,18,2,7
Craig,Cathcart,18,2,14
Sebastian,Prödl,18,2,42
José,Holebas,18,2,72
Miguel,Britos,18,2,22
Christian,Kabasele,18,2,68
Daryl,Janmaat,18,2,59
Adrian,Mariappa,18,2,58
Brandon,Mason,18,2,0
Francisco,Femenía Far,18,2,65
Tom,Cleverley,18,3,58
Etienne,Capoue,18,3,48
Valon,Behrami,18,3,0
Steven,Berghuis,18,3,0
Nordin,Amrabat,18,3,6
Isaac,Success,18,3,0
Abdoulaye,Doucouré,18,3,136
Roberto,Pereyra,18,3,81
Will,Hughes,18,3,53
Troy,Deeney,18,4,73
Stefano,Okaka,18,4,24
